id,nombre,album,creador,opennotes,letras,guitarra,bajo,segundag.,drum,key,imagen,video,link,link_mf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A costa da morte,Finisterra,Metallicamilo311,si,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/6dicyJA03TI,https://drive.google.com/file/d/1-2Q6jhCW0KBCwTQV4vUdyvxPAkWQNa9L,https://www.mediafire.com/file/ttnjhm9b7p34c4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Al abordaje,Bandera Negra,Angevil,si,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/bandera.jpg,https://www.youtube.com/embed/BJ6uFAP2HmY,https://drive.google.com/file/d/1-jLTRpYc-4kq5EUKzZlXzDZlx3wX5BFD,https://www.mediafire.com/file/ki0okkeajqtvn4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Ancha es castilla (Version Metal),Rarezas,Danon94,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/rarezas.jpg,https://www.youtube.com/embed/vB0dE9rG6ks,https://drive.google.com/file/d/1-kSOyyHUtC34hvuLToTWwCGFuRNbnwqu,https://www.mediafire.com/file/z43m2m3kmze4dtq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ancha es castilla (Version Metal),Rarezas,Jose_elsopa,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/rarezas.jpg,sinvideo,https://drive.google.com/file/d/10LpsusywCCM1OKOYh0yPU5UwgCYdKhhD,https://www.mediafire.com/file/m4izrwlhh7zxo3u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ancha es castilla (Version Metal),Rarezas,thejumper78,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/rarezas.jpg,sinvideo,https://drive.google.com/file/d/11YcTe-2gxT96GTHu6bKCajOdFO-ocP0D,https://www.mediafire.com/file/bkcuxu94ls25fou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Aquelarre,Gaia II: La Voz Dormida,Darkof GT,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,https://www.youtube.com/embed/xr-tmZZaJOs,https://drive.google.com/file/d/11_5rLY2k0aAfBGPcmLDBoRSsRcuBchvz,https://www.mediafire.com/file/uthyet84x1tmz91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Aquelarre,Gaia II: La Voz Dormida,"Dayaah, LMBECIL1832",si,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,https://www.youtube.com/embed/KuWZuO6WNeU,https://drive.google.com/file/d/11tWG9DB47ACGMfocL_cjMPjdvxMx3cOf,https://www.mediafire.com/file/6pw3qviy81vinxa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Aquelarre,Gaia II: La Voz Dormida,WOLFxONE,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,sinvideo,https://drive.google.com/file/d/11xQRY5Yq6bWzlCtSI-nkJUtGyvb85rzC,https://www.mediafire.com/file/83y7yiqhqy8alip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Astaroth ,Finisterra,Danon94,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/st2wlqC9rGc,https://drive.google.com/file/d/12I8-l9awLZyPcG2T7tKtwbfFHaXSXHFv,https://www.mediafire.com/file/v89srl61s25yuq4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Astaroth,Finisterra,LMBECIL1832,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_lll.jpg,https://www.youtube.com/embed/iC1yecFMRrs,https://drive.google.com/file/d/12eqbqgpS4bXvtywKMKC-mQYaI8BCLb4p,https://www.mediafire.com/file/c9rggolb34od1ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
