id,nombre,album,creador,opennotes,letras,guitarra,bajo,segundag.,drum,key,imagen,video,link,link_mf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A costa da morte,Finisterra,Metallicamilo311,si,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/6dicyJA03TI,https://www.mediafire.com/file/ttnjhm9b7p34c4d,https://www.mediafire.com/file/ttnjhm9b7p34c4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Al abordaje,Bandera Negra,Angevil,si,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/bandera.jpg,https://www.youtube.com/embed/BJ6uFAP2HmY,https://www.mediafire.com/file/ki0okkeajqtvn4g,https://www.mediafire.com/file/ki0okkeajqtvn4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Ancha es castilla (Version Metal),Rarezas,Danon94,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/rarezas.jpg,https://www.youtube.com/embed/vB0dE9rG6ks,https://www.mediafire.com/file/z43m2m3kmze4dtq,https://www.mediafire.com/file/z43m2m3kmze4dtq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ancha es castilla (Version Metal),Rarezas,Jose_elsopa,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/rarezas.jpg,sinvideo,https://www.mediafire.com/file/m4izrwlhh7zxo3u,https://www.mediafire.com/file/m4izrwlhh7zxo3u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ancha es castilla (Version Metal),Rarezas,thejumper78,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/rarezas.jpg,sinvideo,https://www.mediafire.com/file/bkcuxu94ls25fou,https://www.mediafire.com/file/bkcuxu94ls25fou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Aquelarre,Gaia II: La Voz Dormida,Darkof GT,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,https://www.youtube.com/embed/xr-tmZZaJOs,https://www.mediafire.com/file/uthyet84x1tmz91,https://www.mediafire.com/file/uthyet84x1tmz91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Aquelarre,Gaia II: La Voz Dormida,"Dayaah, LMBECIL1832",si,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,https://www.youtube.com/embed/KuWZuO6WNeU,https://www.mediafire.com/file/6pw3qviy81vinxa,https://www.mediafire.com/file/6pw3qviy81vinxa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Aquelarre,Gaia II: La Voz Dormida,WOLFxONE,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,sinvideo,https://www.mediafire.com/file/83y7yiqhqy8alip,https://www.mediafire.com/file/83y7yiqhqy8alip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Astaroth ,Finisterra,Danon94,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/st2wlqC9rGc,https://www.mediafire.com/file/v89srl61s25yuq4,https://www.mediafire.com/file/v89srl61s25yuq4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Astaroth,Finisterra,LMBECIL1832,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_lll.jpg,https://www.youtube.com/embed/iC1yecFMRrs,https://www.mediafire.com/file/c9rggolb34od1ok,https://www.mediafire.com/file/c9rggolb34od1ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
